BOAT,HULL,WING_CONFIG_unk,MD4_SEL_DB_unk,MD4_SEL_RUD_unk,DATETIME,TIME_LOCAL_unk,race,leg,type,entry_bsp,exit_bsp,min_bsp,bsp_loss,entry_twa,exit_twa,orig_entry_twa,orig_exit_twa,entry_rh,exit_rh,entry_rh_stability,max_yaw_rate,db_down,two_DB_time,two_DB_Broadcast,flying,tws,pop_time,turn_min_rh,t_invert,t_to_lock,max_lat_gforce,max_fwd_gforce,max_gforce,drop_time_P,drop_time_S,unstow_time_P,unstow_time_S,stow_time_P,stow_time_S,boards_up_time_S,boards_up_time_P,press_sys_acc_start,press_sys_acc_end,press_sys_acc_delta,press_rake_acc_start,press_rake_acc_end,press_rake_acc_delta,pump_press_avg,pump_press_max,press_wing_acc_start,press_wing_acc_end,db_ud_ret_press_s_avg,db_ud_ret_press_s_max,db_ud_ret_press_p_avg,db_ud_ret_press_p_max,db_ud_ext_press_s_avg,db_ud_ext_press_s_max,db_ud_ext_press_p_avg,db_ud_ext_press_p_max,entry_heel,entry_pitch,exit_heel,exit_pitch,turning_time,t_swap,bsp_at_drop,heel_at_drop,pitch_at_drop,winward_rh_at_drop,db_cant_ret_press_p_avg,db_cant_ret_press_p_max,db_cant_ret_press_s_avg,db_cant_ret_press_s_max,db_cant_ext_press_p_avg,db_cant_ext_press_p_max,db_cant_ext_press_s_avg,db_cant_ext_press_s_max,entry_jib_lead,exit_jib_lead,entry_jib_sheet,exit_jib_sheet,entry_jib_sheet_pct,exit_jib_sheet_pct,max_rudder_angle,vmg_distance,b_diff,b_diff_1,b_diff_2,avg_TWD,distance,dist_2,bearing,bearing_2,theoretical_vmg,theoretical_target_vmg,theoretical_distance,theoretical_targ_distance,loss_vs_vmg,loss_vs_targ_vmg,drop_offset,drop_to_wind_axis,htw_bsp,entry_cant,exit_cant,cant_drop_target,cant_stow_target,dashboard,entry_tack
AUS,AUS,11.0,3.0,2.0,2025-01-19T02:17:38.600000+00:00,2025-01-19 15:17:57,05,0,gybe,66.66,70.7,51.22,15.439999999999998,148.1,152.3,-148.1,152.3,765.8,1071.4,2000.0,17.73,7.4,7.0,14.6,1,39.0,1.6,402.0,,1.6,0,0,0,2.88,,0.13,,,0.0,1818.52,,184.01120000000003,175.653,8.35820000000004,202.1006,198.53640000000004,3.5641999999999427,185.13730000000004,370.41,150.1514,143.9948,107.4625,369.0,112.72374999999998,337.67,28.79115,380.59,138.232,229.08,3.0527999999999995,-2.5044,3.438,-2.0347999999999997,2.8,-4.4,72.24,1.21,-0.86,1378.37,86.22599999999998,178.12,108.54800000000003,123.49,46.35799999999999,67.85,38.893,73.93,67.46999999999998,97.83399999999997,7.661000000000001,10.163,46.867000000000004,51.343999999999994,5.4,610.4404634969277,3.0556401219546956,176.9405735848079,-3.0556401219546956,70.21975,611.3,611.3095988690696,-112.83967641519207,67.16410987804531,57.0142,36.486999999999995,633.4911111111112,405.41111111111104,23.050647614183504,-205.02935238581665,-0.5,6.6,,4.0328,2.1763999999999997,2.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737253038600.0&to=1737253078600.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,port
AUS,AUS,11.0,3.0,2.0,2025-01-19T03:32:20.800000+00:00,2025-01-19 16:32:39,06,3,tack,58.42,46.9,37.35,21.07,37.5,59.2,-37.5,59.2,1087.1,828.5,1530.7,30.5,5.4,7.2,11.2,1,37.0,0.8,434.4,,1.8,0,0,0,2.17,,0.13,,,0.0,6249.9,,184.53333333333333,170.45179999999996,14.081533333333368,200.986,166.2218,34.76419999999999,183.4736923076923,377.22,151.72733333333332,154.27300000000002,146.63902564102563,373.99,129.2525641025641,346.41,4.117076923076923,7.48,6.311128205128205,13.95,-0.8097777777777777,-2.6900000000000004,2.234,-1.0124,4.6,-2.6,52.73,-1.07,-2.54,853.29,92.50555555555556,204.87,186.55777777777777,191.0,51.18111111111109,65.92,63.53111111111112,106.14,54.22444444444442,46.506,6.56,5.948999999999999,11.426666666666668,24.458999999999996,14.0,380.03415150031077,1.4636590590148657,1.4636590590148657,-178.5386084667618,61.11820512820514,380.2,380.1581868054448,62.581864187220006,242.57959666144336,46.33622222222221,36.05555555555555,514.8469135802468,400.6172839506172,134.81276207993602,20.583132450306437,-0.5,3.8,,-4.888888888888889,-0.19340000000000004,0.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737257520800.0&to=1737257560800.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,port
AUS,AUS,11.0,3.0,2.0,2025-01-19T03:33:20.200000+00:00,2025-01-19 16:33:39,06,4,gybe,82.83,78.13,58.96,23.869999999999997,153.1,150.6,153.1,-150.6,1177.4,1144.1,1592.4,21.01,7.0,8.2,12.0,1,38.0,0.4,625.5,,2.0,0,0,0,,2.65,,0.13,0.0,,,6199.42,184.04120000000003,180.5504,3.4908000000000357,203.29440000000002,201.6936,1.6008000000000209,189.57389999999998,377.44,152.9668,154.46699999999998,112.55140000000002,335.01,145.45905000000002,372.48,95.09225,207.59,5.914650000000002,11.4,0.1596,-2.0664000000000002,1.5147999999999997,-2.1146000000000003,4.2,-4.2,83.23,3.38,-2.17,1197.92,34.248000000000005,57.57,94.90700000000001,194.08,16.867000000000004,63.52,50.78900000000001,81.3,68.66799999999999,100.0,7.760999999999999,10.34,34.332,30.008999999999997,7.0,693.367659771234,0.9710136834704599,179.02483695866349,-0.9710136834704599,63.904500000000006,693.5,693.4672440991933,-117.07066304133652,62.933486316529525,73.8468,59.357,820.5200000000001,659.5222222222221,127.15234022876609,-33.845437549011876,-0.5,5.4,,-2.3560000000000003,2.0574,2.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737257580200.0&to=1737257620200.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,stbd
AUS,AUS,11.0,3.0,2.0,2025-01-19T03:34:17.200000+00:00,2025-01-19 16:34:36,06,4,tack,59.34,53.4,41.32,18.020000000000003,74.2,60.6,-74.2,60.6,886.7,1000.1,2000.0,33.58,5.2,5.2,8.4,1,38.0,1.2,568.3,,1.2,0,0,0,1.53,,0.13,,,0.0,6361.0,,184.10379999999998,168.34140000000002,15.762399999999957,187.3914,176.32780000000002,11.06359999999998,166.6611,363.71,152.2668,151.1072,144.9682,364.88,131.07145,341.74,73.79509999999999,140.04,5.6699,28.42,0.45339999999999997,-0.7844,3.0474,-1.3354,3.4,-20.2,56.61,1.25,-2.47,1127.5,44.86600000000001,217.2,261.209,359.96,25.163,65.63,88.74399999999997,169.87,98.477,63.657999999999994,10.261000000000001,7.312,46.24900000000002,18.305999999999997,13.5,372.1128462619716,7.649551373790516,7.649551373790516,-172.35277913004103,59.811499999999995,375.5,375.4540911863444,67.46105137379051,247.45872086995897,14.7044,8.516,163.3822222222222,94.62222222222222,-208.7306240397494,-277.4906240397494,-0.5,4.2,,-2.1618,-2.1534,0.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737257637200.0&to=1737257677200.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,port
AUS,AUS,11.0,3.0,2.0,2025-01-19T03:35:17.200000+00:00,2025-01-19 16:35:36,06,5,tack,58.09,54.27,39.72,18.370000000000005,40.0,43.5,40.0,-43.5,996.2,1082.8,1356.6,35.65,4.8,6.8,10.2,1,42.0,1.0,610.6,,1.8,0,0,0,,1.93,,0.13,0.0,,,6314.32,183.794,170.664347826087,13.129652173913001,200.5838,163.97043478260866,36.61336521739133,182.58724489795918,367.46,155.08280000000002,150.21565217391304,126.54270408163265,312.16,141.56744897959183,369.28,6.928265306122449,43.72,4.862448979591837,7.41,0.5302,-1.8736,-0.34043478260869575,-1.9604347826086959,4.0,-2.2,56.64,3.36,-2.34,935.43,185.68400000000005,196.58,216.04399999999995,218.08,42.669,116.09,121.586,122.17,54.21,58.0723913043478,6.56,6.883043478260871,8.001,13.977391304347824,14.8,407.422900438251,1.688171665364365,1.688171665364365,-178.31433494902842,64.54867346938777,407.6,407.5998137492996,66.23684513475213,246.23433852035936,46.2604,37.271,514.0044444444444,414.12222222222226,106.58154400619338,6.699321783971243,-0.5,3.4,,-4.848400000000001,-2.1249999999999996,0.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737257697200.0&to=1737257737200.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,stbd
AUS,AUS,11.0,3.0,2.0,2025-01-19T03:49:22.800000+00:00,2025-01-19 16:49:41,07,0,tack,50.93,25.02,21.4,29.53,53.0,36.7,-53.0,36.7,889.0,93.6,2000.0,12.88,9.6,9.8,14.2,0,36.0,1.0,-215.9,,2.4,0,0,0,2.77,,0.4,,,0.0,7246.45,,183.52060000000006,171.37440000000004,12.146200000000022,202.9348,203.17679999999996,-0.2419999999999618,195.64190000000002,376.92,152.19439999999997,153.3682,134.92,373.6,85.13735000000001,285.69,67.42245,118.21,10.4979,81.35,1.3198,-1.2845999999999997,8.875,-0.5304000000000001,9.2,-6.2,52.85,-2.23,-1.82,619.54,15.431,105.62,104.04899999999999,124.05,9.015,36.69,14.996000000000002,63.87,78.87,98.271,8.604000000000001,10.199000000000002,29.568,58.858999999999995,10.5,322.70294204137303,21.529366844447672,21.529366844447672,-158.4729565583019,63.71,346.9,346.9067672526681,85.23936684444767,265.2370434416981,28.854800000000004,35.64900000000001,320.60888888888894,396.1000000000001,-2.0940531524840935,73.39705795862704,-0.5,7.4,,2.3862000000000005,2.169,0.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737258542800.0&to=1737258582800.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,port
AUS,AUS,11.0,3.0,2.0,2025-01-19T03:50:54.800000+00:00,2025-01-19 16:51:13,07,2,gybe,74.02,80.38,55.85,18.169999999999995,144.7,155.2,144.7,-155.2,996.1,1020.3,2000.0,20.18,6.2,5.8,9.6,1,41.0,0.8,666.9,,2.4,0,0,0,,2.95,,0.13,0.0,,,7227.86,172.06640000000004,172.824,-0.7575999999999681,201.4924,196.15179999999998,5.340600000000023,178.92974999999998,349.93,155.2698,151.6424,109.98159999999999,305.16,148.01155,364.65,62.926950000000005,227.9,7.902,13.04,-1.1454,-2.3257999999999996,1.8585999999999998,-2.122,3.6,-3.2,79.1,0.56,-2.93,984.23,127.035,149.26,77.00800000000001,228.28,99.15199999999999,144.23,45.761,84.76,96.594,100.0,10.077000000000002,10.34,44.381,36.903,6.4,684.8392074332321,4.396771002056056,-175.60732272864186,4.396771002056056,58.09825000000001,686.9,686.8605871275689,-117.50907272864187,62.49502100205606,61.224999999999994,59.84599999999998,680.2777777777777,664.9555555555553,-4.56142965545439,-19.88365187767681,-0.5,4.2,,-0.2802,2.0254000000000003,2.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737258634800.0&to=1737258674800.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,stbd
AUS,AUS,11.0,3.0,2.0,2025-01-19T03:52:51.600000+00:00,2025-01-19 16:53:10,07,3,tack,59.83,47.25,20.35,39.48,50.3,60.9,50.3,-60.9,882.4,836.4,1935.5,20.39,5.0,8.6,11.8,0,43.0,1.0,77.3,,1.6,0,0,0,,1.92,,0.13,0.0,,,7344.96,184.62040000000002,169.14239999999998,15.478000000000037,201.71919999999997,136.36539999999997,65.3538,182.22985,371.47,157.4818,153.2302,129.47684999999998,322.39,131.2995,377.03,5.141900000000001,18.99,63.378099999999996,103.96,4.1796,-1.9334,-1.1995999999999998,-1.2109999999999999,5.6,-2.6,59.51,4.49,-0.99,1111.87,170.50199999999998,215.1,84.54400000000001,235.92,11.385,105.16,46.305,48.18,50.25000000000001,80.219,6.2280000000000015,8.724,14.878,24.193999999999996,14.4,359.4482108840156,13.416633055017371,-13.416633055017371,166.58142880167668,64.72625,369.5,369.53330679223274,51.30961694498261,231.30767880167667,37.365,37.05,415.1666666666667,411.66666666666663,55.71845578265106,52.218455782651006,-0.5,3.6,,-4.790400000000001,3.3089999999999997,0.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737258751600.0&to=1737258791600.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,stbd
AUS,AUS,11.0,3.0,2.0,2025-01-19T04:08:01.800000+00:00,2025-01-19 17:08:20,08,0,gybe,82.8,76.19,57.38,25.419999999999995,150.3,149.4,150.3,-149.4,1003.6,895.8,1635.9,17.04,6.8,7.0,10.4,1,34.0,1.0,665.3,,2.2,0,0,0,,2.61,,0.45,0.0,,,8231.03,177.06159999999997,176.730625,0.3309749999999667,200.64680000000004,203.234375,-2.5875749999999584,187.45204081632656,370.17,150.178,154.63750000000002,114.8495918367347,314.33,127.74617346938777,339.5,71.55066326530613,205.45,103.9273469387755,182.56,1.0939999999999999,-2.1632,1.689375,-2.3285416666666667,4.0,-19.6,79.88,0.65,-2.42,1088.01,12.659,55.03,8.968,185.55,27.165999999999993,41.59,7.243000000000002,74.32,76.22800000000001,89.54124999999999,8.385,9.480000000000002,32.879000000000005,42.46895833333333,5.5,695.1016033634135,2.3107831399235153,-177.69352015055495,2.3107831399235153,64.69913265306123,695.7,695.6673029260917,-112.99438749749373,67.00991579298474,74.84179999999999,20.982,831.5755555555554,233.13333333333333,136.47395219214195,-461.96827003008013,-0.5,5.0,,-3.273,2.0004166666666663,2.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737259661800.0&to=1737259701800.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,stbd
AUS,AUS,11.0,3.0,2.0,2025-01-19T04:14:43+00:00,2025-01-19 17:15:02,08,1,gybe,89.08,79.99,58.27,30.809999999999995,143.3,150.4,143.3,-150.4,1066.9,1219.1,1895.6,22.8,4.8,5.6,9.8,1,38.0,0.0,743.0,,1.8,0,0,0,,2.62,,0.13,0.0,,,8623.88,184.1191666666667,179.7452,4.373966666666689,200.74145833333333,200.12599999999998,0.6154583333333505,197.8669230769231,382.12,152.80583333333334,152.2952,124.49897435897435,322.47,151.14374358974356,369.14,91.37784615384615,178.54,4.807589743589744,9.11,0.8139583333333333,-2.0031250000000003,0.8009999999999999,-2.2077999999999998,4.4,-14.4,75.07,1.49,-1.86,1042.3,87.17895833333334,92.94,134.80791666666667,231.45,57.98374999999999,80.98,77.40104166666667,83.62,97.49374999999999,92.26499999999999,10.15875,9.704,29.748333333333335,43.511,7.1,725.1022175343139,0.8396164782563034,-179.16488456959968,0.8396164782563034,66.63230769230769,725.2,725.1800793882237,-112.532576877292,67.471924170564,73.66520833333333,17.958958333333335,818.5023148148148,199.54398148148147,93.40009728050086,-525.5582360528324,-0.5,3.4,,-1.4912500000000002,1.9642000000000002,2.0,0.0,https://data.sailgp.com/d/f6845b3b-2b56-4a16-aaf6-c1eb05640582/replay-singleboat-maneuvre-v2?orgId=2&from=1737260063000.0&to=1737260103000.0&var-BOAT=AUS&var-EntryExitAvgTime=5s&var-datasource=strm,stbd
