BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
AUS,2025-01-19 02:56:08,2025-01-19 15:56:08,-36.8365425,174.767222,33.49,33.02,53.34,1.41,36.24,66.96,0.32,-9.75,54.51,-0.66,33.4,-5.41,-4.63,0.0,-3.38,-2.09,-0.95,4.45,4.39,1.21,0.03,376.42,419.5,731.61,6.91,2.62,6.88,1.98,-0.54,1.68,0.06,7.0,0.0,25011905.0,47.8,30.2,44.57,96.35,260.76,46.1
AUS,2025-01-19 03:06:00,2025-01-19 16:06:00,-36.8339894,174.7617555,10.42,13.72,98.95,-39.31,36.0,53.63,-32.9,3.63,106.08,-7.36,7.35,-23.22,-23.06,0.0,-22.97,-22.98,-22.97,0.24,-2.27,0.05,2.21,35.99,4.62,312.68,-2.07,1.61,7.5,4.99,2.21,0.7,3.01,7.0,0.0,25011905.0,120.48,72.7,244.39,321.71,-175.01,249.3
AUS,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8339997,174.7617967,12.27,14.95,101.24,-40.63,36.44,54.16,-32.27,3.19,109.11,-7.43,9.19,-27.14,-27.24,0.0,-27.19,-27.18,-26.68,0.44,-6.87,0.16,1.97,45.41,-79.39,48.9,-4.06,1.61,7.5,4.99,2.17,0.7,3.76,7.0,0.0,25011905.0,119.48,69.4,209.25,323.01,-173.17,205.9
AUS,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.834013,174.761841,13.34,16.53,107.11,-41.68,36.91,54.68,-32.85,5.78,110.31,-3.5,8.48,-33.32,-32.77,0.0,-32.8,-32.79,-33.2,0.14,3.66,-0.36,3.27,77.95,-29.31,214.36,-7.61,1.61,7.34,4.99,2.16,0.7,4.5,7.0,0.0,25011905.0,118.48,65.5,195.4,324.82,-171.73,187.9
AUS,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8340285,174.7618891,15.08,17.62,113.35,-45.76,37.53,55.73,-33.67,8.35,118.84,-4.81,10.79,-33.18,-32.59,0.0,-32.68,-32.66,-32.57,0.62,-8.78,-0.19,2.74,22.13,-114.27,13.54,-15.02,1.63,7.16,4.99,2.16,0.7,5.26,7.0,0.0,25011905.0,117.58,58.55,176.26,327.09,-169.47,168.6
AUS,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.8340494,174.761938,16.0,18.46,124.74,-55.68,37.36,56.69,-39.72,10.83,121.27,3.52,7.88,-33.12,-32.59,0.0,-32.6,-32.57,-32.78,0.36,-7.76,-0.94,2.78,7.63,-56.23,186.43,-21.31,1.6,7.05,4.99,5.33,0.7,6.72,7.0,0.0,25011905.0,116.58,41.75,135.38,329.41,-165.3,132.4
AUS,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.8340754,174.7619856,16.38,18.23,136.73,-62.38,37.27,57.57,-44.18,13.58,134.35,1.69,7.87,-32.96,-32.66,0.0,-32.65,-32.68,-32.79,0.18,-8.06,-0.95,4.5,9.8,-94.77,-85.86,-23.13,1.61,6.99,4.99,7.75,0.7,7.54,7.0,0.0,25011905.0,115.48,2.95,116.43,331.93,-161.03,109.0
AUS,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8341081,174.7620258,16.48,18.79,150.52,-76.34,37.24,58.39,-54.42,13.6,146.8,2.03,3.5,-32.86,-32.65,0.0,-32.61,-32.7,-32.74,0.12,-8.18,-1.55,3.66,-36.2,-209.8,-10.17,-20.79,1.62,7.02,4.99,7.75,0.7,7.54,7.0,0.0,25011905.0,114.48,-65.15,101.33,330.81,-157.1,98.0
AUS,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.834148,174.7620577,18.0,20.12,162.9,-94.27,36.96,59.15,-67.17,11.46,157.79,2.37,-1.87,-32.87,-32.63,0.0,-32.67,-32.65,-32.63,0.25,-8.18,-1.63,2.19,74.08,-54.26,5.1,-14.22,1.63,6.9,4.99,7.36,0.7,7.54,7.0,0.0,25011905.0,113.48,-100.0,86.89,328.26,-150.27,85.8
AUS,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.8341954,174.7620804,19.66,21.15,172.88,-110.69,36.65,59.85,-78.89,9.5,168.72,0.66,-7.72,-32.86,-32.66,0.0,-32.62,-32.66,-32.53,0.32,-8.28,-0.55,2.0,22.33,21.14,18.52,-9.56,1.61,6.83,4.99,5.85,0.69,7.55,7.0,0.0,25011905.0,112.48,-100.0,77.58,325.1,-144.02,76.6
AUS,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.8342479,174.7620924,21.01,22.49,180.9,-122.3,36.47,60.3,-87.22,6.41,174.7,1.6,-12.62,-28.38,-27.23,0.0,-27.22,-27.59,-26.6,1.76,-10.05,-0.58,2.51,149.29,115.23,205.72,-6.54,1.62,6.73,4.99,2.43,0.7,7.56,7.0,0.0,25011905.0,111.48,-100.0,73.29,320.19,-136.96,73.5
AUS,2025-01-19 03:06:10,2025-01-19 16:06:10,-36.8343048,174.7620979,22.98,24.18,185.82,-129.1,36.31,60.04,-89.9,5.79,181.82,0.28,-15.77,-6.11,-5.9,0.0,-6.39,-8.17,-5.96,0.18,-18.03,-1.47,2.24,-68.24,-226.32,-105.96,-7.99,1.59,6.62,4.99,1.54,0.69,7.57,7.0,0.0,25011905.0,110.48,-100.0,67.38,317.26,-130.5,66.9
AUS,2025-01-19 03:06:11,2025-01-19 16:06:11,-36.8343652,174.7620945,24.0,24.08,193.42,-137.69,36.34,59.76,-96.77,7.12,188.42,0.98,-18.87,-3.61,-3.72,0.0,-3.64,-3.54,-3.95,-0.33,-19.25,0.24,2.25,197.21,46.15,220.71,-5.89,1.63,6.47,5.0,0.53,0.7,7.57,7.0,0.0,25011905.0,109.48,-100.0,59.61,311.08,-122.85,57.4
