BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
BRA,2025-01-19 03:06:00,2025-01-19 16:06:00,-36.8332898,174.758963,7.39,10.31,95.64,-33.9,34.64,58.19,-28.02,1.99,107.79,1.0,5.93,16.14,5.4,0.0,-3.84,-13.15,-22.56,-38.71,-17.12,-2.22,1.3,12.93,-15.19,-84.3,-7.62,1.29,7.22,7.01,4.38,2.12,-4.07,7.0,0.0,25011905.0,120.6,59.4,452.77,323.54,-352.94,416.5
BRA,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8332984,174.7589943,8.32,10.78,99.11,-41.64,35.48,58.24,-33.92,4.18,109.16,1.0,6.29,16.14,5.38,0.0,-3.82,-13.12,-22.44,-38.59,-24.35,1.85,2.2,-168.49,-37.99,-60.05,-0.14,1.31,7.03,7.01,4.44,2.12,-4.07,7.0,0.0,25011905.0,119.6,58.5,376.24,321.88,-351.64,377.9
BRA,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8333086,174.7590273,9.74,12.73,102.06,-44.92,34.84,58.16,-36.79,1.13,109.89,-10.14,6.12,16.14,5.4,0.0,-3.83,-13.04,-22.43,-38.56,-23.71,-0.68,0.5,-94.42,-154.74,113.42,5.55,1.98,7.51,7.01,4.95,2.12,-4.07,7.0,0.0,25011905.0,118.6,57.8,349.21,320.58,-351.34,324.6
BRA,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8333202,174.7590669,12.23,15.13,101.85,-45.49,34.49,58.07,-36.06,-1.12,107.73,-7.79,7.62,16.14,5.4,0.0,-3.86,-13.01,-22.55,-38.69,-22.0,-1.39,1.46,-165.72,-96.73,-92.1,6.61,2.41,7.47,7.01,5.0,2.12,-4.07,7.0,0.0,25011905.0,117.6,57.6,291.54,319.77,-349.85,275.5
BRA,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.8333322,174.7591121,12.84,15.17,101.25,-48.6,34.37,57.74,-37.68,-0.01,105.95,-6.37,7.58,16.13,5.38,0.0,-3.78,-12.93,-22.3,-38.44,-21.92,2.47,1.52,-65.77,-16.96,160.57,6.43,2.61,7.5,7.01,3.03,2.12,-4.07,7.0,0.0,25011905.0,116.6,57.45,260.13,318.14,-346.24,259.8
BRA,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.8333427,174.759158,13.18,15.96,101.25,-47.77,34.1,57.37,-36.04,-0.18,104.44,-4.19,7.53,16.12,5.38,0.0,-3.84,-13.12,-22.47,-38.59,-18.83,-0.62,0.99,-41.4,-13.24,250.89,3.01,2.57,7.55,7.01,2.71,2.12,-4.07,7.0,0.0,25011905.0,115.6,57.5,258.75,317.36,-344.81,254.4
BRA,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8333528,174.7592062,13.45,15.54,101.18,-48.31,34.22,57.07,-36.22,0.88,104.95,-4.34,8.43,16.14,5.38,0.0,-3.78,-13.18,-22.38,-38.51,-19.37,2.06,0.75,-136.66,-67.75,7.2,1.18,2.57,7.54,7.01,1.78,2.12,-3.66,7.0,0.0,25011905.0,114.6,57.55,242.51,316.51,-342.96,241.1
BRA,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.8333642,174.7592522,13.03,15.75,103.06,-46.89,34.31,56.89,-36.16,2.08,108.06,-6.38,8.14,16.31,6.05,0.0,-3.11,-12.46,-21.78,-38.12,-17.48,-0.0,1.49,105.37,148.09,353.74,-0.59,2.57,7.53,7.01,1.92,2.12,-2.82,7.0,0.0,25011905.0,113.7,57.05,260.9,313.86,-339.09,268.1
BRA,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.8333773,174.7593007,14.74,17.2,104.16,-46.11,34.57,57.0,-34.39,1.17,109.72,-6.79,10.65,18.28,8.73,0.0,-0.56,-9.99,-18.86,-37.13,-20.12,0.25,1.01,74.29,-6.36,2.88,2.89,2.57,7.53,7.01,2.32,2.12,-1.99,7.0,0.0,25011905.0,112.7,56.55,232.9,313.12,-334.72,226.5
BRA,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.833392,174.7593508,14.58,16.96,105.86,-46.68,34.5,57.13,-34.75,1.53,109.29,-4.72,10.02,18.68,8.69,0.0,-0.6,-9.86,-19.23,-37.9,-21.68,1.09,1.74,198.41,116.91,345.5,2.44,2.57,7.54,7.01,2.76,2.12,-1.13,7.0,0.0,25011905.0,111.7,55.55,231.06,311.49,-330.61,233.8
BRA,2025-01-19 03:06:10,2025-01-19 16:06:10,-36.8334072,174.7594009,15.23,17.8,107.64,-46.14,34.54,57.43,-33.89,1.88,110.96,-4.63,10.8,18.68,8.54,0.0,-0.63,-9.98,-19.21,-37.9,-22.71,-0.4,1.07,129.74,-49.34,318.48,0.73,2.57,7.53,7.01,3.2,2.12,-0.85,7.0,0.0,25011905.0,110.7,53.85,224.94,309.59,-323.45,222.7
BRA,2025-01-19 03:06:11,2025-01-19 16:06:11,-36.8334234,174.7594536,16.08,18.48,108.88,-46.2,34.71,57.81,-32.94,1.46,110.82,-2.97,11.15,18.69,8.62,0.0,-0.53,-9.87,-19.36,-38.05,-23.01,0.74,1.68,-48.95,-71.28,124.28,-0.1,2.57,7.53,7.01,2.46,2.12,-0.31,7.0,0.0,25011905.0,109.6,52.2,212.75,308.23,-317.79,211.7
BRA,2025-01-19 03:06:12,2025-01-19 16:06:12,-36.8334414,174.7595073,16.82,19.5,110.97,-46.27,34.93,58.29,-33.01,1.93,113.43,-3.88,11.68,18.7,8.65,0.0,-0.57,-9.86,-19.19,-37.87,-23.73,0.25,1.64,-61.86,-14.82,321.94,-0.2,2.57,7.53,7.01,2.18,2.12,0.26,7.0,0.0,25011905.0,108.7,50.3,192.73,305.88,-310.78,187.9
BRA,2025-01-19 03:06:13,2025-01-19 16:06:13,-36.8334574,174.7595527,18.6,19.5,112.05,-46.09,35.03,58.29,-31.56,1.32,113.43,-3.88,13.04,18.68,8.66,0.0,-0.65,-9.99,-19.51,-38.19,-23.78,-0.65,1.44,6.0,-7.71,59.39,-0.21,2.57,7.53,7.01,2.74,2.12,0.67,7.0,0.0,25011905.0,108.7,48.8,176.78,305.88,-310.78,187.9
BRA,2025-01-19 03:06:14,2025-01-19 16:06:14,-36.8334895,174.7596317,20.42,22.89,114.16,-47.5,35.25,59.43,-32.03,-0.05,116.23,-4.22,13.6,18.7,8.65,0.0,-0.6,-9.88,-19.29,-37.98,-23.79,0.76,3.29,16.05,54.07,420.01,3.27,2.57,7.53,7.01,0.84,2.12,1.48,7.0,0.0,25011905.0,106.6,44.85,143.78,301.37,-299.01,142.0
BRA,2025-01-19 03:06:15,2025-01-19 16:06:15,-36.8335125,174.7596911,22.0,24.53,113.32,-47.83,35.59,59.94,-31.14,-0.66,115.8,-4.3,13.97,18.7,8.64,0.0,-0.58,-9.87,-19.13,-37.83,-23.62,0.05,2.61,38.95,-101.84,77.71,3.17,2.57,7.53,7.01,0.82,2.12,1.48,7.0,0.0,25011905.0,105.6,40.4,143.3,299.77,-297.87,140.7
BRA,2025-01-19 03:06:16,2025-01-19 16:06:16,-36.8335392,174.759762,23.82,26.57,112.71,-48.32,35.57,60.3,-30.46,-0.53,114.57,-3.29,15.02,18.7,8.66,0.0,-0.57,-9.94,-19.34,-38.03,-24.21,-0.42,2.58,57.84,-105.23,8.62,2.72,2.57,7.53,7.01,0.54,2.12,1.49,7.0,0.0,25011905.0,104.6,37.35,133.79,297.62,-296.68,132.6
