BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
CAN,2025-01-19 03:06:00,2025-01-19 16:06:00,-36.8374909,174.7607861,1.26,1.1,68.49,-1.47,34.69,57.65,-1.39,2.83,119.56,1.0,1.26,-18.59,-18.54,0.0,-18.56,-18.49,-18.37,0.23,9.59,0.39,1.11,23.82,-29.21,144.02,-26.63,1.31,-0.0,-0.39,1.31,-0.98,3.65,7.0,0.0,25011905.0,120.42,-100.0,0.0,0.0,141.57,0.0
CAN,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.837493,174.7607905,1.13,1.05,70.69,-3.39,35.36,58.35,-3.26,1.91,134.01,1.0,1.12,-18.57,-18.51,0.0,-18.52,-18.72,-18.63,-0.05,10.04,-0.22,1.42,-83.34,-113.71,145.35,-26.55,1.31,-0.0,-0.39,1.32,-0.98,3.66,7.0,0.0,25011905.0,119.42,-100.0,0.0,0.0,140.9,0.0
CAN,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8374968,174.7607952,1.09,1.03,71.86,-5.23,36.2,58.97,-5.04,0.79,136.43,1.0,1.07,-18.57,-18.51,0.0,-18.54,-18.73,-18.74,-0.17,10.01,-0.42,2.3,27.62,-84.24,94.42,-26.32,1.31,-0.0,-0.39,1.33,-0.98,3.66,7.0,0.0,25011905.0,118.42,-100.0,0.0,0.0,139.54,0.0
CAN,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8375011,174.7607999,1.08,0.9,72.84,-7.99,36.59,59.41,-7.73,1.13,142.12,1.0,1.06,-18.56,-18.47,0.0,-18.61,-18.81,-18.87,-0.31,7.47,0.42,2.0,-34.25,-51.11,49.11,-20.61,1.31,-0.01,-0.41,1.33,-0.98,3.66,7.0,0.0,25011905.0,117.42,-100.0,0.0,0.0,138.87,0.0
CAN,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.8375062,174.7608043,0.88,0.85,73.42,-10.17,36.76,59.7,-9.91,0.56,146.11,1.0,0.84,-18.58,-18.5,0.0,-18.68,-18.49,-18.35,0.23,3.68,0.11,1.24,5.59,-116.03,210.31,-22.96,1.31,-0.0,-0.41,1.33,-0.98,3.66,7.0,0.0,25011905.0,116.42,-100.0,0.0,0.0,140.14,0.0
CAN,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.8375115,174.7608091,1.42,1.67,74.69,-11.04,37.06,59.98,-10.6,1.57,129.9,1.0,1.35,-18.59,-18.5,0.0,-18.61,-18.4,-18.55,0.04,3.55,-0.86,1.22,-85.46,-60.41,43.45,-16.45,1.31,-0.01,-0.4,1.36,-0.98,3.66,7.0,0.0,25011905.0,115.42,-100.0,0.0,0.0,138.84,0.0
CAN,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8375163,174.7608155,1.85,1.9,76.72,-12.79,36.85,60.24,-12.13,2.2,136.06,1.0,1.76,-18.59,-18.48,0.0,-18.55,-18.39,-18.55,0.03,3.41,0.3,1.59,-15.56,-99.01,91.84,-16.54,1.31,-0.0,-0.41,1.37,-0.98,3.66,7.0,0.0,25011905.0,114.42,-100.0,0.0,0.0,138.51,0.0
CAN,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.837522,174.7608228,2.11,2.22,78.7,-13.88,36.66,60.56,-13.08,1.95,128.53,1.0,1.99,-18.61,-18.48,0.0,-18.53,-18.68,-18.64,-0.03,3.3,-0.06,1.6,-16.96,-61.98,63.15,-16.63,1.31,-0.0,-0.4,1.37,-0.98,3.66,7.0,0.0,25011905.0,113.42,-100.0,0.0,0.0,140.6,0.0
CAN,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.8375277,174.7608308,2.53,2.82,81.57,-15.78,36.65,60.9,-14.71,3.06,129.15,1.0,2.37,-19.28,-20.31,0.0,-20.22,-20.23,-20.29,-1.01,3.58,-0.19,1.89,-38.69,-80.62,117.4,-8.82,1.31,-0.0,-0.23,1.37,-0.99,3.66,7.0,0.0,25011905.0,112.42,-100.0,0.0,0.0,142.65,0.0
CAN,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.8375337,174.7608407,3.58,4.04,83.11,-16.04,36.31,61.35,-14.54,1.02,119.17,1.0,3.35,-19.89,-20.59,0.0,-20.64,-20.69,-20.46,-0.57,3.18,-1.09,1.84,-67.69,-116.75,81.38,-2.38,1.31,-0.0,-0.0,1.36,-0.99,3.66,7.0,0.0,25011905.0,111.42,-100.0,0.0,0.0,146.71,0.0
