BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
DEN,2025-01-19 02:56:12,2025-01-19 15:56:12,-36.8319194,174.7541499,11.55,12.91,46.62,23.52,40.68,72.47,18.35,-1.83,52.97,0.99,10.87,-1.45,-0.64,0.0,0.12,0.94,1.72,3.18,10.97,0.13,-0.28,-90.99,-43.98,99.59,1.64,2.21,-7.53,1.87,-2.34,8.76,7.97,7.0,0.0,25011905.0,-999.0,-17.6,252.54,186.19,264.56,0.0
DEN,2025-01-19 02:56:13,2025-01-19 15:56:13,-36.8319003,174.7541829,11.55,13.09,45.47,24.41,40.86,72.26,18.93,-0.44,54.05,-1.31,10.56,-1.46,-0.63,0.0,0.15,0.96,1.87,3.32,11.22,-0.83,-0.47,-55.39,-9.01,119.5,0.79,2.21,-7.53,1.87,-2.35,8.75,7.97,7.0,0.0,25011905.0,-1054.8,-17.6,241.76,189.46,264.56,21.3
DEN,2025-01-19 03:06:00,2025-01-19 16:06:00,-36.8336919,174.761661,11.96,14.64,79.74,-27.17,37.75,58.83,-22.21,-1.53,87.8,-5.66,10.55,-1.11,-0.74,0.0,-0.63,-0.42,-0.14,0.96,-15.37,-0.96,1.12,-6.73,-13.4,93.15,4.82,2.9,7.49,-0.01,3.03,-2.88,3.9,7.0,0.0,25011905.0,120.71,66.95,225.54,340.89,-207.18,220.3
DEN,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.83369,174.7617054,11.33,13.2,78.96,-27.55,37.3,58.28,-22.12,0.64,86.14,-3.39,10.23,-1.12,-0.74,0.0,-0.57,-0.41,0.03,1.15,-13.93,1.89,0.18,29.19,-60.8,320.74,-1.85,2.9,7.49,-0.01,3.03,-2.89,3.9,7.0,0.0,25011905.0,119.71,69.45,211.71,343.16,-205.66,216.1
DEN,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8336878,174.761747,11.05,13.42,80.49,-25.8,37.3,57.94,-20.68,2.45,86.48,-1.99,10.0,-1.12,-0.74,0.0,-0.62,-0.44,-0.07,1.05,-13.3,-0.62,0.07,-8.72,5.19,74.22,-6.68,2.9,7.49,-0.01,3.13,-2.88,3.89,7.0,0.0,25011905.0,118.71,71.1,231.84,345.78,-206.0,228.6
DEN,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8336872,174.7617874,9.9,11.84,84.3,-26.83,37.0,57.83,-22.47,5.34,94.43,-6.74,9.06,-1.12,-0.74,0.0,-0.65,-0.44,-0.14,0.97,-15.36,1.59,1.57,12.46,-68.46,295.72,-14.59,2.9,7.49,-0.01,3.14,-2.89,3.89,7.0,0.0,25011905.0,117.71,71.15,235.39,348.0,-205.99,244.1
DEN,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.8336887,174.7618258,10.41,13.03,89.42,-25.4,37.14,58.14,-20.4,5.59,95.27,-2.27,9.38,0.84,1.97,0.0,0.95,0.38,-0.04,-0.78,-20.2,-1.45,0.79,47.9,-53.47,-32.58,-16.63,2.9,7.49,-0.01,3.13,-2.89,3.89,7.0,0.0,25011905.0,116.71,69.8,251.02,350.67,-204.29,240.8
DEN,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.8336941,174.7618658,10.86,13.36,96.31,-34.54,37.55,58.67,-28.9,6.15,106.02,-8.92,9.34,15.8,13.77,0.0,8.87,4.08,-0.63,-16.28,-25.82,0.81,2.37,-23.2,-20.12,177.05,-13.85,2.9,7.49,-0.01,3.96,-2.89,3.9,7.0,0.0,25011905.0,115.61,66.35,232.97,352.42,-203.26,235.1
DEN,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8337025,174.7619082,12.64,15.42,100.22,-35.9,37.48,59.08,-27.97,2.58,104.91,-3.69,9.9,16.69,9.86,0.0,2.97,-5.39,-13.21,-29.9,-26.07,-2.57,2.64,27.14,-140.98,-101.24,-17.45,2.89,7.48,-0.02,7.25,-2.89,3.9,7.0,0.0,25011905.0,114.71,62.9,214.41,354.72,-202.48,205.3
DEN,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.8337138,174.7619558,14.39,16.99,104.69,-40.88,37.43,59.4,-31.31,7.57,110.98,-5.67,10.73,-2.41,-4.58,0.0,-0.49,0.98,3.6,5.53,-22.46,-0.76,3.46,-32.5,-84.78,-44.36,-18.75,2.89,7.48,-0.01,7.76,-2.89,3.9,7.0,0.0,25011905.0,113.71,59.75,187.82,356.43,-199.3,184.7
