BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
ESP,2025-01-19 02:56:12,2025-01-19 15:56:12,-36.8363614,174.7653082,42.14,43.35,120.51,-63.33,34.04,57.74,-28.68,-0.08,121.76,-1.44,18.17,16.8,9.3,0.0,2.42,-4.79,-11.87,-28.68,-16.11,-0.63,0.65,568.59,603.22,694.98,-0.57,2.41,5.4,5.0,3.89,-0.72,0.69,7.0,0.0,25011905.0,50.31,23.8,18.88,155.79,191.05,19.5
ESP,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8342069,174.763456,22.0,23.09,139.65,-81.39,34.29,54.25,-50.75,11.39,131.81,1.95,1.59,-18.37,-18.23,0.0,-18.3,-18.46,-18.29,0.08,-22.08,-2.34,2.88,21.47,-131.72,-57.02,-15.44,0.77,4.91,5.0,7.76,0.75,-0.01,7.0,0.0,25011905.0,120.27,-39.4,85.4,410.56,-92.56,97.6
ESP,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8342559,174.7635058,24.38,25.47,151.92,-91.83,34.38,54.93,-54.71,12.9,140.81,4.32,-1.19,-18.37,-18.28,0.0,-18.27,-18.49,-18.56,-0.19,-24.5,-2.27,3.72,46.81,-178.99,-182.75,-16.59,0.08,3.54,5.0,7.75,0.75,-0.02,7.0,0.0,25011905.0,119.27,-100.0,65.86,411.73,-87.82,68.6
ESP,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8343161,174.7635417,25.8,26.78,166.47,-109.82,34.51,55.56,-66.05,16.06,156.32,1.6,-9.09,-18.35,-18.26,0.0,-18.3,-18.39,-18.37,-0.02,-26.14,-0.07,5.93,163.61,-28.92,120.68,-16.22,0.16,3.39,5.0,7.75,0.75,-0.02,7.0,0.0,25011905.0,118.37,-100.0,56.43,409.35,-81.91,57.9
ESP,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.8343841,174.7635592,27.47,27.71,181.07,-128.18,34.71,56.14,-76.94,12.14,169.53,3.54,-17.68,-18.35,-18.28,0.0,-18.25,-18.41,-18.46,-0.11,-26.7,-1.27,3.16,176.5,-58.34,102.14,-13.18,0.13,3.28,5.0,7.75,0.75,-0.02,7.0,0.0,25011905.0,117.27,-100.0,51.85,403.0,-74.19,53.4
ESP,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.8344557,174.7635599,28.03,28.61,191.17,-138.94,35.0,56.67,-85.85,4.98,181.24,3.56,-22.56,-13.3,-11.56,0.0,-11.36,-11.24,-11.25,2.0,-28.64,0.47,0.27,0.54,34.32,144.74,-5.62,0.13,2.94,5.0,4.97,0.75,-0.02,7.0,0.0,25011905.0,116.27,-100.0,50.81,394.61,-66.6,50.3
ESP,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8345257,174.7635488,27.91,28.01,194.02,-142.07,35.16,56.75,-89.57,1.27,187.73,0.95,-23.91,11.63,13.22,0.0,13.96,13.38,13.25,1.65,-37.73,0.56,1.07,175.47,98.58,344.31,-1.54,0.13,3.21,5.0,1.21,0.75,-0.02,7.0,0.0,25011905.0,115.27,-100.0,53.14,385.9,-61.66,52.7
ESP,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.8345949,174.7635354,27.51,27.95,194.96,-144.65,35.25,56.39,-93.6,0.03,188.87,0.88,-25.22,18.44,18.71,0.0,18.53,18.42,18.35,-0.08,-39.7,0.6,2.64,224.6,98.59,365.08,-1.36,0.12,3.27,5.0,0.04,0.76,-0.01,7.0,0.0,25011905.0,114.27,-100.0,52.43,380.06,-55.32,52.5
ESP,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.8346633,174.7635232,27.19,27.46,192.67,-147.08,36.04,55.91,-99.06,-7.03,188.83,0.47,-24.8,18.41,18.64,0.0,18.36,18.26,17.92,-0.5,-39.61,0.05,2.57,133.56,16.62,279.41,5.67,0.14,3.39,5.0,1.05,0.76,-0.0,7.0,0.0,25011905.0,113.27,-100.0,52.04,373.32,-48.27,52.5
ESP,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.8347318,174.7635187,26.82,27.47,183.49,-147.25,36.4,55.34,-100.46,-12.64,182.6,-1.27,-23.58,18.37,18.52,0.0,18.22,18.14,18.18,-0.19,-39.64,0.58,1.76,94.19,69.35,405.61,10.96,0.62,4.37,5.0,3.71,0.76,-0.0,7.0,0.0,25011905.0,112.27,-100.0,49.39,365.68,-41.0,50.4
ESP,2025-01-19 03:06:10,2025-01-19 16:06:10,-36.8347986,174.7635304,25.75,26.94,169.92,-142.39,36.11,54.81,-97.08,-12.5,169.28,-0.88,-20.79,18.35,18.4,0.0,18.11,17.86,17.92,-0.43,-39.78,2.53,1.82,36.66,4.03,354.03,13.04,0.55,4.31,5.0,2.65,0.75,-0.01,7.0,0.0,25011905.0,111.37,-100.0,47.51,359.01,-32.57,47.4
ESP,2025-01-19 03:06:11,2025-01-19 16:06:11,-36.8348628,174.7635567,26.42,26.88,158.1,-133.1,35.94,54.32,-86.66,-12.45,161.1,-4.42,-19.13,18.35,18.34,0.0,18.11,18.23,18.26,-0.09,-39.73,0.27,-0.39,308.05,170.28,530.8,13.38,0.56,4.36,5.0,2.98,0.75,-0.0,7.0,0.0,25011905.0,110.27,-100.0,46.81,350.15,-21.92,47.5
ESP,2025-01-19 03:06:12,2025-01-19 16:06:12,-36.8349232,174.7636002,26.06,27.99,145.3,-115.09,35.7,53.87,-72.32,-12.11,148.29,-3.66,-10.07,18.34,18.27,0.0,18.02,18.13,18.1,-0.22,-39.71,2.69,3.99,124.68,106.08,402.92,12.56,0.56,4.26,5.0,1.16,0.75,-0.01,7.0,0.0,25011905.0,109.27,-100.0,46.18,342.73,-14.22,44.7
