BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
GBR,2025-01-19 02:59:50,2025-01-19 15:59:50,-36.8294523,174.7575441,57.03,54.66,266.71,156.22,37.06,59.35,31.79,-8.39,265.17,-0.7,-41.53,-23.39,-19.17,0.0,-13.92,-8.17,-2.4,20.99,14.45,-0.71,0.2,315.9,237.26,361.24,3.39,1.04,-0.7,3.19,1.68,-1.14,0.45,7.0,0.0,25011905.0,-61.41,-5.4,23.4,104.74,104.83,0.2
GBR,2025-01-19 03:06:00,2025-01-19 16:06:00,-36.834131,174.7584258,27.17,29.77,112.6,-47.84,35.94,61.37,-28.44,1.24,112.95,-1.52,21.07,21.05,14.37,0.0,7.58,-0.3,-8.16,-29.21,-21.14,-1.79,6.88,488.77,166.78,250.14,-2.94,2.07,7.13,6.99,7.51,-0.82,2.32,7.0,0.0,25011905.0,120.73,-100.0,109.18,234.99,-290.97,110.4
GBR,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8341631,174.7585088,27.69,30.01,116.38,-55.09,36.75,61.55,-33.57,4.08,119.61,-4.13,20.27,20.96,13.65,0.0,5.95,-2.85,-11.63,-32.52,-21.77,1.25,6.78,382.64,130.26,547.52,-1.21,2.06,7.01,6.99,6.86,-0.82,2.24,7.0,0.0,25011905.0,119.73,-100.0,100.08,229.63,-284.89,91.7
GBR,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8341996,174.7585919,29.18,31.68,117.02,-55.37,36.93,61.58,-32.65,-1.32,118.94,-3.67,20.91,20.97,12.71,0.0,3.94,-5.72,-15.43,-36.4,-21.24,-0.64,6.7,470.38,202.13,382.7,1.62,2.03,6.95,6.99,6.98,-0.82,2.03,7.0,0.0,25011905.0,118.83,-100.0,91.43,225.44,-280.42,91.7
GBR,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8342379,174.7586791,30.42,32.84,116.16,-56.16,37.02,61.49,-33.01,-1.45,117.7,-3.78,21.41,20.91,12.35,0.0,3.19,-6.82,-17.19,-38.07,-23.21,1.16,7.9,546.27,257.44,678.8,2.59,2.05,6.57,6.99,4.7,-0.82,1.69,7.0,0.0,25011905.0,117.83,-100.0,85.45,220.85,-274.85,83.1
GBR,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.834275,174.7587718,31.75,34.16,113.75,-55.15,37.11,61.31,-31.47,-1.61,115.91,-3.83,22.1,20.77,12.29,0.0,3.15,-7.01,-17.18,-37.95,-22.31,0.99,8.36,578.59,173.68,509.92,2.79,2.06,6.32,6.99,4.55,-0.82,0.7,7.0,0.0,25011905.0,116.83,-100.0,87.78,216.26,-266.52,88.1
GBR,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.8343105,174.7588678,31.97,34.65,111.75,-53.9,37.24,61.05,-30.47,-2.56,111.27,-1.72,21.4,20.6,12.5,0.0,3.61,-6.02,-15.86,-36.54,-22.56,1.13,7.58,763.42,388.06,742.2,1.84,2.03,6.21,6.99,4.35,-0.82,-0.03,7.0,0.0,25011905.0,115.73,-100.0,87.16,212.03,-259.74,89.2
GBR,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8343442,174.758968,33.51,36.13,111.8,-52.05,37.38,60.87,-29.24,2.44,115.0,-3.66,22.2,20.61,13.21,0.0,5.03,-4.22,-13.59,-34.12,-22.41,0.82,7.35,604.28,253.86,708.53,-0.45,2.25,6.35,6.99,4.87,-0.82,-0.91,7.0,0.0,25011905.0,114.83,-100.0,86.5,207.04,-254.5,88.4
GBR,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.8343811,174.7590721,35.17,37.74,113.4,-51.17,37.49,60.96,-27.4,1.38,115.0,-2.18,22.27,20.61,12.42,0.0,3.42,-6.42,-16.47,-37.12,-23.48,0.75,6.75,670.71,308.59,694.45,0.27,2.27,6.02,6.99,5.27,-0.82,-0.87,7.0,0.0,25011905.0,113.73,-100.0,80.03,203.21,-246.15,80.5
GBR,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.834421,174.7591796,36.62,39.26,114.41,-51.85,37.57,61.09,-27.47,0.79,115.85,-2.4,21.54,20.62,13.08,0.0,4.79,-4.3,-13.67,-34.28,-22.47,0.59,5.46,535.41,319.5,587.92,-0.36,2.28,5.69,6.99,5.09,-0.82,-0.88,7.0,0.0,25011905.0,112.73,-100.0,72.36,197.56,-236.41,72.0
