BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
GER,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8331299,174.7593904,27.04,29.25,107.5,-55.0,34.35,56.98,-32.45,2.36,109.76,-3.73,10.78,16.03,11.07,0.0,5.92,0.26,-5.48,-21.51,-25.2,-0.15,7.04,458.76,101.82,611.21,-1.35,3.08,7.35,4.99,7.75,3.05,5.87,7.0,0.0,25011905.0,120.21,71.15,133.97,342.15,-356.2,132.4
GER,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8331554,174.759478,27.74,30.17,109.4,-56.26,34.54,56.68,-32.45,2.53,109.69,-1.83,12.6,16.04,11.63,0.0,7.08,1.96,-2.88,-18.97,-25.31,-0.49,5.28,349.86,143.69,143.42,-1.75,3.08,7.35,4.99,7.75,3.05,5.85,7.0,0.0,25011905.0,119.21,70.95,131.17,339.58,-351.72,132.9
GER,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8331847,174.7595648,27.97,30.05,113.39,-59.8,34.58,56.36,-34.46,4.22,114.21,-3.08,10.51,16.05,12.13,0.0,7.97,3.52,-1.29,-17.36,-25.32,-0.64,4.04,380.17,180.83,378.45,-4.08,3.08,7.34,4.99,7.75,3.05,5.84,7.0,0.0,25011905.0,118.11,70.7,123.66,336.01,-347.4,126.4
GER,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.8332197,174.7596504,29.06,30.94,119.62,-60.15,34.36,56.25,-34.01,7.46,119.17,-2.91,13.45,16.02,10.62,0.0,4.8,-2.01,-8.76,-24.67,-27.63,-0.72,4.85,199.09,-100.6,217.74,-5.36,3.08,7.35,4.99,7.75,3.05,5.86,7.0,0.0,25011905.0,117.11,70.0,109.21,333.4,-341.18,114.4
GER,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.833264,174.7597351,31.61,33.2,126.0,-64.92,34.23,56.27,-34.64,5.66,125.02,-2.18,12.53,16.01,9.64,0.0,2.8,-4.74,-12.31,-28.33,-28.86,-1.63,3.71,290.86,105.4,144.3,-4.1,3.08,7.34,4.99,7.76,3.05,5.86,7.0,0.0,25011905.0,116.21,69.5,90.22,328.77,-335.39,96.3
GER,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8333185,174.7598201,33.88,35.44,132.63,-69.65,34.19,56.54,-36.29,7.8,131.3,-2.65,10.44,16.02,9.62,0.0,2.71,-4.83,-12.54,-28.57,-28.87,-0.37,4.33,176.85,6.71,196.27,-4.24,2.19,6.43,4.99,7.75,3.05,5.86,7.0,0.0,25011905.0,115.11,67.8,76.72,326.43,-327.56,83.4
GER,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.8333863,174.7598996,36.9,38.05,138.31,-74.03,34.2,56.95,-37.26,2.73,139.63,-4.1,8.01,16.01,9.73,0.0,3.06,-4.39,-11.85,-27.95,-30.79,0.03,4.75,534.55,349.38,580.58,0.47,2.01,5.62,4.99,6.44,3.05,5.88,7.0,0.0,25011905.0,114.11,66.0,62.56,318.13,-319.17,65.2
GER,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.8334637,174.7599815,40.42,41.57,139.7,-75.26,34.21,57.49,-35.43,1.68,140.23,-3.01,6.8,16.02,11.48,0.0,6.65,1.39,-3.76,-19.78,-31.24,-1.02,5.1,573.54,359.29,560.33,-0.66,2.0,5.03,4.99,3.45,3.05,5.88,7.0,0.0,25011905.0,113.21,63.9,56.17,311.63,-307.83,58.1
GER,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.8335497,174.7600679,44.25,45.35,143.23,-76.96,34.24,58.06,-34.09,4.19,141.69,-1.69,8.22,16.02,10.87,0.0,5.16,-1.13,-7.53,-23.49,-33.03,-1.43,6.28,423.26,144.75,232.81,-0.89,1.99,4.47,4.99,4.74,3.05,5.89,7.0,0.0,25011905.0,112.11,61.8,49.22,302.42,-292.45,52.1
GER,2025-01-19 03:06:10,2025-01-19 16:06:10,-36.8336473,174.760154,47.73,48.9,142.86,-81.03,34.25,58.65,-34.51,-3.76,145.53,-3.6,2.98,16.0,9.99,0.0,3.6,-3.42,-10.64,-26.63,-33.32,-0.47,5.34,752.71,452.65,645.29,3.24,1.68,3.26,4.99,3.98,3.05,5.94,7.0,0.0,25011905.0,111.91,58.05,46.64,300.58,-292.45,50.5
GER,2025-01-19 03:06:11,2025-01-19 16:06:11,-36.8337469,174.7602516,49.46,51.16,137.12,-84.39,34.25,58.71,-34.87,-8.14,140.65,-3.07,-0.14,15.99,10.86,0.0,5.49,-0.41,-5.99,-22.16,-33.4,1.07,4.45,939.73,841.03,1046.53,5.17,1.65,2.77,4.99,0.8,3.05,5.97,7.0,0.0,25011905.0,110.11,50.5,42.17,284.91,-263.11,42.1
GER,2025-01-19 03:06:12,2025-01-19 16:06:12,-36.8338373,174.7603659,49.3,51.44,126.1,-79.99,34.54,58.54,-33.94,-12.59,132.27,-4.42,5.05,16.02,13.49,0.0,10.87,7.95,5.26,-10.82,-33.97,0.81,2.82,1123.24,903.59,1278.8,6.39,1.63,2.65,4.99,-0.72,3.05,5.98,7.0,0.0,25011905.0,109.11,45.8,45.9,279.21,-248.07,43.7
GER,2025-01-19 03:06:13,2025-01-19 16:06:13,-36.8339055,174.7605002,48.38,50.84,112.92,-69.45,34.71,58.38,-29.79,-13.05,117.99,-2.68,16.27,16.11,15.81,0.0,15.81,15.37,15.75,-0.41,-34.32,-0.32,0.35,868.83,776.46,960.13,5.72,1.64,2.74,4.99,0.11,3.05,5.97,7.0,0.0,25011905.0,108.11,41.35,57.5,275.17,-233.71,53.6
GER,2025-01-19 03:06:14,2025-01-19 16:06:14,-36.8339457,174.7606454,45.0,48.28,102.29,-62.42,35.56,58.23,-27.26,-7.46,104.4,-0.7,22.68,16.12,15.96,0.0,16.04,16.01,15.89,-0.24,-34.4,0.04,-3.2,533.08,664.12,744.81,2.35,1.62,2.79,4.99,1.16,3.05,5.92,7.0,0.0,25011905.0,107.21,34.7,72.17,275.02,-217.28,67.9
GER,2025-01-19 03:06:15,2025-01-19 16:06:15,-36.833966,174.7607834,40.17,43.33,98.76,-60.93,37.46,57.38,-29.09,-1.59,98.74,0.49,21.77,16.11,15.88,0.0,16.02,15.91,16.02,-0.1,-34.42,0.59,-4.7,278.87,582.38,633.41,-0.66,1.62,3.24,4.99,-0.52,3.05,5.9,7.0,0.0,25011905.0,106.11,39.5,77.99,275.67,-211.61,76.3
GER,2025-01-19 03:06:16,2025-01-19 16:06:16,-36.8339813,174.7609086,36.18,39.3,98.22,-57.92,38.22,55.96,-29.83,0.39,98.08,0.17,23.28,16.09,15.84,0.0,15.95,15.8,15.79,-0.31,-34.51,0.56,-3.27,202.81,417.16,481.04,-1.77,1.63,3.95,4.99,-0.67,3.05,5.91,7.0,0.0,25011905.0,105.11,47.9,84.9,278.62,-209.01,83.8
