BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
ITA,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8329253,174.7607424,18.32,17.45,230.38,-163.9,40.6,64.43,-151.06,5.11,224.08,-0.71,-17.43,-21.07,-21.04,0.0,-21.05,-21.01,-20.98,0.1,-18.38,0.92,-0.94,122.88,5.42,12.76,-6.25,0.76,5.12,5.0,-2.0,-1.72,2.63,7.0,0.0,25011905.0,120.27,70.4,114.46,382.97,-320.31,102.4
ITA,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8329533,174.7607053,16.99,16.05,234.82,-172.79,39.76,64.46,-168.13,2.5,227.75,0.3,-16.78,-21.08,-21.03,0.0,-21.07,-21.02,-20.95,0.12,-17.25,1.32,1.22,187.75,136.52,202.27,-4.66,0.74,5.29,5.0,-1.98,-1.71,2.63,7.0,0.0,25011905.0,119.27,68.0,132.76,379.1,-319.25,127.3
ITA,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8329789,174.76067,16.43,14.93,236.07,-176.92,38.39,64.26,-175.44,-0.15,228.71,1.14,-16.41,-21.06,-21.04,0.0,-21.09,-21.16,-21.08,-0.02,-18.72,0.53,3.12,100.77,127.58,267.76,-3.44,0.73,5.33,5.0,-1.81,-1.71,2.64,7.0,0.0,25011905.0,118.27,66.15,145.23,374.67,-319.05,140.5
ITA,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.8330049,174.7606352,16.74,15.09,235.92,-173.07,37.63,63.88,-169.79,0.48,226.84,2.41,-16.69,-21.06,-21.06,0.0,-21.04,-21.06,-21.04,0.02,-18.96,-0.01,1.87,6.97,13.96,271.12,-3.97,0.71,5.38,5.0,-1.78,-1.71,2.65,7.0,0.0,25011905.0,117.27,64.95,136.3,371.42,-317.98,143.4
ITA,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.8330211,174.7606139,17.05,15.59,236.45,-170.28,37.82,63.85,-164.37,0.67,227.94,2.43,-16.8,-21.08,-21.05,0.0,-21.05,-20.99,-20.91,0.15,-18.37,-0.4,0.73,-105.72,-102.56,332.1,-3.57,0.77,5.42,5.0,-1.85,-1.71,2.66,7.0,0.0,25011905.0,117.27,63.6,131.33,371.42,-317.98,143.4
ITA,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8330577,174.7605624,16.93,15.59,236.99,-171.68,38.01,64.0,-165.98,0.36,229.15,1.62,-16.73,-21.07,-21.05,0.0,-21.07,-21.1,-20.97,0.1,-18.93,0.58,-0.07,-208.99,-313.33,169.19,-1.65,0.75,5.35,5.0,-1.85,-1.72,2.64,7.0,0.0,25011905.0,115.27,60.8,137.77,363.91,-316.69,137.0
ITA,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.8330821,174.7605257,16.54,15.11,237.61,-172.91,38.02,64.09,-167.43,1.87,231.27,0.01,-16.4,-21.06,-21.06,0.0,-21.08,-21.19,-21.09,-0.03,-19.1,0.95,-0.67,-172.27,-273.63,141.15,-1.23,0.74,5.34,5.0,-2.18,-1.72,2.64,7.0,0.0,25011905.0,114.27,58.15,147.38,360.46,-315.55,144.7
ITA,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.833104,174.7604892,15.62,14.53,239.98,-173.08,38.27,64.17,-167.6,1.19,234.73,-0.98,-15.5,-21.08,-21.08,0.0,-20.98,-20.98,-21.12,-0.05,-18.4,2.06,-1.62,-75.43,-134.6,186.31,1.06,0.73,5.38,5.0,-2.77,-1.71,2.63,7.0,0.0,25011905.0,113.27,54.7,153.5,356.76,-313.4,149.4
ITA,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.8331236,174.7604558,14.17,12.96,239.46,34.42,38.09,64.37,34.25,-3.0,233.62,-0.18,-14.16,-21.08,-21.06,0.0,-20.94,-20.88,-20.99,0.09,-11.49,1.02,-0.02,-76.58,38.32,212.45,5.73,0.71,5.44,5.0,-3.05,-1.72,2.62,7.0,0.0,25011905.0,112.27,49.3,169.75,353.8,-311.3,164.0
ITA,2025-01-19 03:06:10,2025-01-19 16:06:10,-36.8331438,174.7604265,13.88,12.01,235.18,106.38,35.39,63.76,105.35,-5.79,227.96,0.52,-13.85,-21.03,-21.16,0.0,-21.14,-21.2,-21.39,-0.36,-18.77,0.14,1.72,-91.25,-47.8,49.46,7.93,0.76,-5.66,5.0,-3.97,-1.71,2.64,7.0,0.0,25011905.0,111.27,48.3,169.84,350.58,-308.32,178.7
