BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
NZL,2025-01-19 03:06:00,2025-01-19 16:06:00,-36.8330708,174.7579808,29.64,31.53,133.27,-90.85,42.02,41.61,-56.97,0.53,134.94,-4.35,3.83,3.27,2.69,0.0,2.25,2.25,2.38,-0.87,-26.49,0.63,6.35,312.99,112.08,452.31,0.17,1.13,2.58,5.0,4.33,1.35,-0.25,7.0,0.0,25011905.0,120.91,76.5,93.57,356.89,-417.33,92.6
NZL,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8331297,174.7580565,33.89,36.19,132.89,-87.66,41.99,41.81,-50.96,-2.16,132.72,-2.83,6.7,4.51,4.8,0.0,4.61,4.28,3.21,-1.29,-28.24,-1.11,8.18,580.31,169.81,369.65,0.98,1.15,4.67,5.0,5.05,1.61,-0.25,7.0,0.0,25011905.0,119.91,76.15,81.17,349.64,-409.1,78.6
NZL,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8331912,174.758142,35.47,37.57,130.88,-86.97,41.91,42.0,-49.24,-1.86,131.57,-3.26,7.05,4.55,4.68,0.0,4.54,4.1,3.57,-0.99,-28.28,0.43,8.7,698.13,357.65,683.75,0.6,1.12,2.92,5.0,4.78,1.61,-0.25,7.0,0.0,25011905.0,118.81,75.65,75.91,340.89,-401.79,75.7
NZL,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8332516,174.7582334,36.25,38.41,129.17,-85.84,41.38,42.09,-46.88,0.55,128.37,-1.16,6.87,4.6,4.72,0.0,4.48,3.94,3.57,-1.03,-28.7,0.19,8.12,692.74,385.24,635.52,-1.2,1.14,0.86,5.0,3.75,1.61,-0.26,7.0,0.0,25011905.0,117.91,74.9,75.65,335.36,-393.94,76.4
NZL,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.833312,174.7583273,36.93,39.38,130.02,-85.42,40.66,42.24,-45.5,0.24,128.37,-0.41,6.71,4.62,4.75,0.0,4.41,3.91,3.41,-1.19,-30.72,-1.67,5.38,521.22,270.57,473.25,-1.83,1.15,-1.15,5.0,5.02,1.61,-0.26,7.0,0.0,25011905.0,116.81,74.15,74.06,327.91,-383.73,73.3
NZL,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.8333727,174.7584221,36.43,38.57,130.63,-86.17,40.84,42.43,-46.19,0.75,128.93,0.1,4.44,4.61,4.79,0.0,4.39,3.97,3.66,-0.95,-31.1,-1.21,2.85,211.3,128.25,203.14,-2.29,1.54,-3.09,5.0,6.6,1.62,-0.27,7.0,0.0,25011905.0,115.81,73.45,72.78,320.92,-374.46,72.5
NZL,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8334327,174.7585133,35.22,37.16,131.41,-86.85,41.08,42.61,-47.86,0.79,130.88,-1.13,2.47,4.6,4.76,0.0,4.44,3.97,3.55,-1.06,-31.16,0.67,2.71,357.9,293.1,506.69,-2.42,1.56,-4.5,5.0,6.43,1.62,-0.29,7.0,0.0,25011905.0,114.81,72.5,73.36,313.97,-366.5,73.6
NZL,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.833492,174.7586032,35.66,37.81,131.37,-87.3,40.99,42.74,-47.15,-1.47,128.21,0.86,1.64,4.61,4.69,0.0,4.43,3.93,3.62,-1.0,-31.39,-0.89,2.26,513.99,470.82,660.91,-2.16,1.54,-4.57,5.0,6.68,1.61,-0.29,7.0,0.0,25011905.0,113.81,71.65,72.85,306.26,-354.75,73.3
NZL,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.833551,174.7586965,36.37,38.58,130.21,-87.34,40.67,42.77,-46.68,1.08,128.15,0.07,1.34,4.81,4.7,0.0,4.39,3.89,3.38,-1.43,-31.67,-2.21,1.04,309.68,375.2,244.19,-2.88,1.55,-4.37,5.0,7.56,1.62,-0.3,7.0,0.0,25011905.0,112.81,70.9,71.64,297.63,-343.48,71.1
NZL,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.8336114,174.7587896,36.26,38.26,132.34,-87.71,40.95,42.85,-46.84,4.36,130.77,0.62,1.02,4.93,4.7,0.0,4.41,3.92,3.33,-1.6,-31.68,-1.08,0.92,232.05,287.03,235.83,-4.63,1.52,-3.65,5.0,7.35,1.62,-0.3,7.0,0.0,25011905.0,111.81,70.15,69.69,290.96,-331.93,69.6
NZL,2025-01-19 03:06:10,2025-01-19 16:06:10,-36.8336772,174.7588769,37.12,39.08,136.81,-87.59,39.92,43.22,-45.74,3.27,135.67,-0.12,1.24,4.93,4.7,0.0,4.42,3.93,3.54,-1.4,-31.82,-1.3,0.17,335.15,337.7,387.9,-4.04,1.56,-1.65,5.0,6.82,1.62,-0.29,7.0,0.0,25011905.0,110.81,69.45,64.65,284.47,-320.49,63.9
