BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
SUI,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8339406,174.7610451,5.85,6.12,33.52,17.13,35.2,56.88,14.85,-0.49,36.5,1.0,5.26,-16.79,-9.08,0.0,-0.55,8.37,18.16,34.94,12.77,-0.62,-1.38,44.43,14.48,83.08,-7.64,1.97,7.5,-1.46,2.99,5.48,-2.45,7.0,0.0,25011905.0,120.17,51.35,489.44,288.16,-206.74,535.2
SUI,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8339265,174.7610561,6.54,6.67,32.4,17.17,33.29,56.4,14.54,-1.55,31.98,1.0,6.14,-16.8,-9.04,0.0,-0.41,8.87,18.69,35.48,12.95,0.59,-3.25,-131.37,-57.09,23.98,-12.4,1.97,7.49,-1.46,2.99,5.48,-2.45,7.0,0.0,25011905.0,119.17,55.0,423.29,290.51,-208.88,427.0
SUI,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8339099,174.7610678,8.16,8.1,31.55,19.4,33.84,55.89,15.85,0.14,29.32,1.0,7.3,-16.8,-8.97,0.0,-0.18,9.03,19.13,35.93,12.83,-0.34,0.05,-215.38,-55.51,45.2,-13.55,1.97,7.5,-1.45,2.99,5.48,-2.45,7.0,0.0,25011905.0,118.17,59.75,349.08,292.3,-211.57,385.7
SUI,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.83389,174.7610815,8.75,9.25,32.11,20.77,33.72,55.57,16.74,0.76,29.12,1.0,7.58,-16.79,-8.96,0.0,-0.22,8.89,18.83,35.62,12.72,0.76,0.53,35.95,-96.32,65.37,-15.48,1.97,7.5,-1.45,2.99,5.48,-2.45,7.0,0.0,25011905.0,117.17,62.1,302.56,294.68,-213.07,298.5
SUI,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.833871,174.761097,8.38,8.88,33.41,20.81,32.94,55.38,16.84,1.76,35.57,1.0,7.7,-16.79,-8.92,0.0,-0.27,9.12,18.9,35.71,12.86,0.34,-1.28,-71.38,-70.89,126.58,-17.17,1.97,7.5,-1.46,2.99,5.48,-2.45,7.0,0.0,25011905.0,116.27,61.75,329.29,296.79,-214.05,323.4
SUI,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.833852,174.7611146,9.11,9.8,36.65,23.51,34.38,55.38,19.07,4.04,38.0,1.0,7.99,-16.79,-9.06,0.0,-0.87,8.24,17.76,34.54,12.78,-0.5,-0.97,-63.7,-56.72,12.7,-18.35,1.97,7.5,-1.46,2.99,5.49,-2.05,7.0,0.0,25011905.0,115.27,61.95,311.55,299.25,-216.55,319.4
SUI,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.8338333,174.7611356,8.9,10.05,40.6,24.34,34.36,55.88,19.61,3.93,44.64,1.0,7.82,-16.79,-9.19,0.0,-0.83,8.15,17.79,34.58,12.55,1.23,-0.46,0.47,2.02,201.88,-17.66,1.97,7.5,-1.46,2.76,5.49,4.77,7.0,0.0,25011905.0,114.27,60.65,313.83,301.56,-217.51,307.4
SUI,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.833817,174.7611587,8.32,9.59,44.44,23.69,35.16,56.62,19.4,3.86,50.22,1.0,7.58,-16.79,-9.18,0.0,-0.74,8.24,17.83,34.6,12.38,0.75,-0.06,-78.67,-50.04,191.6,-15.78,1.97,7.49,-1.47,-3.03,5.49,6.86,7.0,0.0,25011905.0,113.17,57.75,340.85,303.57,-217.21,333.0
SUI,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.833803,174.7611837,8.37,9.74,48.45,23.92,37.19,57.56,19.76,3.82,58.55,1.0,7.63,-16.78,-9.17,0.0,-0.82,8.13,17.77,34.55,11.41,-0.45,0.36,-6.6,-12.44,100.8,-13.62,1.97,7.49,-1.46,-4.0,5.48,6.86,7.0,0.0,25011905.0,112.17,52.8,352.73,305.96,-216.08,358.2
SUI,2025-01-19 03:06:10,2025-01-19 16:06:10,-36.8337896,174.7612096,7.81,9.69,51.5,21.23,37.21,58.72,17.75,2.11,58.55,1.0,7.49,-16.78,-9.16,0.0,-0.79,8.16,17.76,34.54,10.25,1.78,-0.55,47.37,20.27,188.63,-11.17,1.97,7.49,-1.46,-3.94,5.48,6.86,7.0,0.0,25011905.0,111.17,44.95,349.02,308.38,-214.01,340.8
