BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s
USA,2025-01-19 03:06:01,2025-01-19 16:06:01,-36.8338887,174.7594428,6.71,9.34,82.44,-20.64,36.93,59.99,-17.36,1.82,93.11,1.0,6.48,0.09,0.23,0.0,0.21,0.09,-0.19,-0.27,-10.14,0.56,0.68,45.81,-826.49,100.12,-5.1,0.97,6.56,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,120.4,-2.15,411.88,257.1,-273.92,410.3
USA,2025-01-19 03:06:02,2025-01-19 16:06:02,-36.8338902,174.7594707,6.42,8.78,84.04,-20.66,37.26,60.16,-17.53,0.64,94.69,1.0,6.06,0.09,0.21,0.0,0.21,0.1,-0.19,-0.27,-10.51,-0.12,0.79,-40.56,-828.12,111.77,-5.62,0.96,6.53,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,119.3,-9.2,432.57,257.13,-273.89,427.9
USA,2025-01-19 03:06:03,2025-01-19 16:06:03,-36.8338926,174.7594981,6.25,8.81,84.58,-21.28,37.63,60.41,-18.16,0.63,97.08,1.0,5.87,0.09,0.15,0.0,0.17,-0.05,0.0,-0.1,-10.99,0.23,1.99,11.6,-827.3,108.79,-7.97,0.98,6.56,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,118.3,-17.35,430.72,256.7,-274.54,430.9
USA,2025-01-19 03:06:04,2025-01-19 16:06:04,-36.8338957,174.7595251,6.28,8.54,85.3,-22.01,37.42,60.63,-18.75,1.09,98.38,1.0,5.71,0.09,0.09,0.0,0.13,-0.12,-0.05,-0.14,-11.73,-0.58,1.43,69.19,-760.67,34.01,-16.4,0.99,6.53,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,117.3,-28.25,442.85,256.11,-273.84,444.2
USA,2025-01-19 03:06:05,2025-01-19 16:06:05,-36.833899,174.7595517,5.79,8.5,86.45,-23.46,37.43,60.84,-20.24,0.78,99.54,1.0,5.14,0.09,0.12,0.0,0.12,-0.07,-0.13,-0.23,-12.19,0.78,1.39,-136.04,-690.85,121.79,-17.09,0.97,6.58,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,116.3,-40.7,443.95,255.8,-271.9,429.5
USA,2025-01-19 03:06:06,2025-01-19 16:06:06,-36.8339031,174.7595768,5.7,7.93,86.97,-23.2,37.73,61.01,-20.09,0.04,102.01,1.0,5.1,0.09,0.2,0.0,0.1,-0.11,-0.06,-0.16,-12.76,-0.73,1.53,-74.06,-669.57,-4.36,-12.98,0.97,6.57,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,115.3,-53.95,476.44,255.73,-272.48,476.4
USA,2025-01-19 03:06:07,2025-01-19 16:06:07,-36.8339087,174.7596021,5.59,8.07,87.06,-23.78,37.77,61.22,-20.64,1.22,105.91,1.0,5.09,0.08,0.22,0.0,0.13,-0.08,0.15,0.09,-13.16,0.09,1.18,74.49,-700.83,107.81,-11.14,0.97,6.63,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,114.4,-71.6,472.16,253.81,-271.63,465.8
USA,2025-01-19 03:06:08,2025-01-19 16:06:08,-36.833914,174.7596271,5.69,8.08,88.26,-24.32,37.47,61.4,-21.05,0.24,103.33,1.0,5.08,0.1,0.22,0.0,0.15,-0.18,-0.05,-0.15,-13.53,0.31,1.87,-60.33,-738.82,33.78,-11.45,0.99,6.57,7.0,1.75,-3.53,1.83,7.0,0.0,25011905.0,113.4,-92.85,473.54,253.31,-269.05,482.5
USA,2025-01-19 03:06:09,2025-01-19 16:06:09,-36.8339203,174.7596523,5.96,8.04,88.37,-24.39,37.43,61.58,-20.98,0.73,108.12,1.0,5.33,-2.17,-3.72,0.0,-3.55,-3.12,-2.86,-0.68,-11.52,-0.84,1.52,-116.14,-750.68,93.54,-11.09,0.97,6.61,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,112.3,-100.0,465.69,252.59,-265.53,466.9
USA,2025-01-19 03:06:10,2025-01-19 16:06:10,-36.8339275,174.7596791,6.42,8.8,89.6,-24.3,37.32,61.78,-20.66,1.37,108.81,1.0,5.86,-19.0,-20.31,0.0,-19.6,-18.45,-17.55,1.39,2.05,-0.55,1.71,56.69,-784.78,-57.19,-13.15,0.95,6.52,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,111.3,-100.0,417.49,251.8,-262.54,416.2
USA,2025-01-19 03:06:11,2025-01-19 16:06:11,-36.8339345,174.7597059,6.33,8.72,91.35,-25.5,36.9,62.07,-21.69,3.32,106.66,1.0,5.66,-21.16,-20.27,0.0,-19.42,-18.85,-17.62,3.53,1.97,0.8,1.91,-44.75,-713.37,-43.28,-15.0,0.97,6.57,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,110.3,-100.0,431.27,252.48,-257.26,434.6
USA,2025-01-19 03:06:12,2025-01-19 16:06:12,-36.8339442,174.7597319,6.7,8.61,95.74,-26.4,36.07,62.4,-22.2,3.28,117.25,1.0,5.8,-21.16,-20.28,0.0,-19.4,-18.65,-17.75,3.4,0.92,-0.82,2.13,-44.67,-681.0,235.91,-13.57,0.98,6.54,7.0,1.75,-3.53,1.83,7.0,0.0,25011905.0,109.3,-100.0,352.78,250.73,-253.72,390.7
USA,2025-01-19 03:06:13,2025-01-19 16:06:13,-36.833954,174.75976,7.63,9.75,97.26,-27.74,35.89,62.94,-22.81,2.45,111.25,1.0,6.82,-21.16,-20.27,0.0,-19.47,-18.76,-17.73,3.42,-2.82,-0.9,1.82,-79.35,-665.23,-113.35,-10.87,0.95,6.49,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,108.3,-100.0,338.61,249.58,-250.3,324.5
USA,2025-01-19 03:06:14,2025-01-19 16:06:14,-36.8339641,174.7597897,8.21,10.2,101.45,-33.94,35.76,63.44,-27.62,4.64,113.22,1.0,6.23,-20.89,-19.81,0.0,-19.12,-18.29,-17.37,3.49,-3.8,-0.22,1.87,-31.89,-681.64,-1.9,-14.29,0.97,6.44,7.0,1.75,-3.53,1.83,7.0,0.0,25011905.0,107.3,-100.0,325.75,250.5,-243.18,348.0
USA,2025-01-19 03:06:15,2025-01-19 16:06:15,-36.8339766,174.7598208,9.39,11.0,104.76,-35.24,35.71,63.84,-29.34,1.16,116.78,1.0,7.16,-3.38,-0.47,0.0,-0.84,-1.73,-0.86,2.62,-12.64,-0.76,3.0,-25.19,-734.25,-4.47,-8.88,0.97,6.44,7.0,1.74,-3.53,1.83,7.0,0.0,25011905.0,106.3,-100.0,265.08,248.69,-243.68,268.8
USA,2025-01-19 03:06:16,2025-01-19 16:06:16,-36.8339901,174.7598572,11.65,13.03,105.2,-36.21,35.46,64.29,-30.21,0.48,114.03,-11.65,8.9,19.32,15.28,0.0,9.44,3.26,-2.51,-21.52,-20.87,-1.05,3.76,-1.06,-725.64,-97.2,-5.3,0.96,6.32,7.0,1.73,-3.53,1.84,7.0,0.0,25011905.0,105.4,-100.0,241.89,248.73,-245.73,251.7
USA,2025-01-19 03:06:17,2025-01-19 16:06:17,-36.834006,174.7599007,14.46,15.35,106.22,-37.29,35.18,64.66,-29.14,0.84,114.98,-11.51,10.33,21.16,13.1,0.0,3.51,-6.41,-16.46,-37.6,-20.62,-1.59,4.28,20.2,-706.21,41.31,-6.28,0.96,6.19,7.0,1.74,-3.53,1.84,7.0,0.0,25011905.0,104.4,-100.0,200.88,248.08,-246.75,213.1
USA,2025-01-19 03:06:18,2025-01-19 16:06:18,-36.8340231,174.7599554,18.62,19.49,106.98,-37.87,35.3,65.0,-26.4,1.91,109.94,-4.64,13.96,20.8,11.87,0.0,2.58,-7.46,-17.62,-38.41,-20.36,-2.0,5.1,113.92,-717.17,-135.4,-4.8,0.97,5.98,7.0,1.85,-3.52,1.85,7.0,0.0,25011905.0,103.3,-100.0,175.33,248.15,-247.36,183.9
USA,2025-01-19 03:06:19,2025-01-19 16:06:19,-36.8340442,174.7600199,21.51,22.79,109.81,-41.36,35.33,65.34,-27.55,3.02,112.71,-4.94,14.42,18.48,9.46,0.0,0.17,-9.64,-19.82,-38.3,-20.69,-0.34,6.3,218.22,-817.08,302.23,-1.43,0.94,5.67,7.0,2.25,-3.53,1.86,7.0,0.0,25011905.0,102.3,-100.0,141.08,247.31,-245.73,152.5
